District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-08-01,2007,August,12,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.021452705722509253
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,51,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.020545379102529498
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,84,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0384596013937027
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,66,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.02356309733344282
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,10,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.018980734554427257
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,10,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.012000480019200769
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,58,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.015713302665301236
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,10,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.028496523424142252
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,57,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.019660663840589957
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,16,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.02633268050229588
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,51,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.02032666140564842
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,68,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.023000013529419723
PERTH DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,33,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.02372786298237667
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,24,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.043542154248081416
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,21,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.011126181494511084
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-09-01,2007,September,18,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.032179058583763874
