District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
PERTH DISTRICT,Assault (Non-Family),2007-03-01,2007,March,87,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.06255527513535668
PERTH DISTRICT,Assault (Non-Family),2007-03-01,2007,March,21,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.015099549170603336
PILBARA DISTRICT,Assault (Non-Family),2007-03-01,2007,March,14,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.025399589978047494
PILBARA DISTRICT,Assault (Non-Family),2007-03-01,2007,March,27,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0489849235290916
PILBARA DISTRICT,Assault (Non-Family),2007-03-01,2007,March,2,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.003628512854006785
SOUTH WEST DISTRICT,Assault (Non-Family),2007-03-01,2007,March,20,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.010596363328105794
SOUTH WEST DISTRICT,Assault (Non-Family),2007-03-01,2007,March,41,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.021722544822616877
SOUTH WEST DISTRICT,Assault (Non-Family),2007-03-01,2007,March,0,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0
WHEATBELT DISTRICT,Assault (Non-Family),2007-03-01,2007,March,7,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.012514078338130397
WHEATBELT DISTRICT,Assault (Non-Family),2007-03-01,2007,March,24,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.042905411445018506
WHEATBELT DISTRICT,Assault (Non-Family),2007-03-01,2007,March,3,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.005363176430627313
ARMADALE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,21,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0084598619833945
ARMADALE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,60,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.02417103423827
ARMADALE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,7,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.002819953994464833
CANNINGTON DISTRICT,Assault (Non-Family),2007-04-01,2007,April,24,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.010988457541057914
CANNINGTON DISTRICT,Assault (Non-Family),2007-04-01,2007,April,60,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.02747114385264478
CANNINGTON DISTRICT,Assault (Non-Family),2007-04-01,2007,April,6,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0027471143852644785
FREMANTLE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,25,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.008925415656607129
FREMANTLE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,45,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.016065748181892832
FREMANTLE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,9,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0032131496363785664
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,16,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.03036917528708361
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,21,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.03985954256429724
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,5,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.009490367277213628
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-04-01,2007,April,7,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.008400336013440538
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-04-01,2007,April,18,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.021600864034561382
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-04-01,2007,April,2,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.002400096003840154
JOONDALUP DISTRICT,Assault (Non-Family),2007-04-01,2007,April,32,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.00866940836706275
JOONDALUP DISTRICT,Assault (Non-Family),2007-04-01,2007,April,54,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.014629626619418391
JOONDALUP DISTRICT,Assault (Non-Family),2007-04-01,2007,April,3,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0008127570344121329
KIMBERLEY DISTRICT,Assault (Non-Family),2007-04-01,2007,April,24,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.06839165621794141
KIMBERLEY DISTRICT,Assault (Non-Family),2007-04-01,2007,April,30,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.08548957027242676
KIMBERLEY DISTRICT,Assault (Non-Family),2007-04-01,2007,April,5,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.014248261712071126
MANDURAH DISTRICT,Assault (Non-Family),2007-04-01,2007,April,31,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.010692641737864713
MANDURAH DISTRICT,Assault (Non-Family),2007-04-01,2007,April,59,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.020350511694645745
MANDURAH DISTRICT,Assault (Non-Family),2007-04-01,2007,April,4,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.001379695708111576
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,7,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.011520547719754448
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,27,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0444363983476243
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-04-01,2007,April,4,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.00658317012557397
MIDLAND DISTRICT,Assault (Non-Family),2007-04-01,2007,April,18,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.007174115790228855
MIDLAND DISTRICT,Assault (Non-Family),2007-04-01,2007,April,49,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.019529537428956325
MIDLAND DISTRICT,Assault (Non-Family),2007-04-01,2007,April,8,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0031884959067683795
MIRRABOOKA DISTRICT,Assault (Non-Family),2007-04-01,2007,April,35,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.011838242257789563
MIRRABOOKA DISTRICT,Assault (Non-Family),2007-04-01,2007,April,53,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.017926481133224197
MIRRABOOKA DISTRICT,Assault (Non-Family),2007-04-01,2007,April,5,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.001691177465398509
PERTH DISTRICT,Assault (Non-Family),2007-04-01,2007,April,71,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.051050856719658894
PERTH DISTRICT,Assault (Non-Family),2007-04-01,2007,April,88,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.06327430128633779
PERTH DISTRICT,Assault (Non-Family),2007-04-01,2007,April,18,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.012942470717660002
PILBARA DISTRICT,Assault (Non-Family),2007-04-01,2007,April,12,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.021771077124040708
PILBARA DISTRICT,Assault (Non-Family),2007-04-01,2007,April,22,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.039913641394074634
PILBARA DISTRICT,Assault (Non-Family),2007-04-01,2007,April,6,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.010885538562020354
SOUTH WEST DISTRICT,Assault (Non-Family),2007-04-01,2007,April,11,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.005827999830458187
SOUTH WEST DISTRICT,Assault (Non-Family),2007-04-01,2007,April,33,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.01748399949137456
SOUTH WEST DISTRICT,Assault (Non-Family),2007-04-01,2007,April,11,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.005827999830458187
WHEATBELT DISTRICT,Assault (Non-Family),2007-04-01,2007,April,4,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.007150901907503083
WHEATBELT DISTRICT,Assault (Non-Family),2007-04-01,2007,April,20,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.03575450953751542
WHEATBELT DISTRICT,Assault (Non-Family),2007-04-01,2007,April,2,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0035754509537515417
ARMADALE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,25,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.010071264265945833
ARMADALE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,54,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.021753930814443
ARMADALE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,7,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.002819953994464833
CANNINGTON DISTRICT,Assault (Non-Family),2007-05-01,2007,May,29,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.013277719528778311
CANNINGTON DISTRICT,Assault (Non-Family),2007-05-01,2007,May,46,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.021061210287027666
CANNINGTON DISTRICT,Assault (Non-Family),2007-05-01,2007,May,4,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0018314095901763188
FREMANTLE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,35,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.01249558191924998
FREMANTLE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,53,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.018921881192007113
FREMANTLE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,4,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0014280665050571406
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,31,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.05884027711872449
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,21,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.03985954256429724
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,15,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.028471101831640883
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-05-01,2007,May,12,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.014400576023040922
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-05-01,2007,May,25,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.03000120004800192
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-05-01,2007,May,4,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.004800192007680308
JOONDALUP DISTRICT,Assault (Non-Family),2007-05-01,2007,May,20,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.005418380229414219
JOONDALUP DISTRICT,Assault (Non-Family),2007-05-01,2007,May,55,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.014900545630889103
JOONDALUP DISTRICT,Assault (Non-Family),2007-05-01,2007,May,1,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.00027091901147071094
KIMBERLEY DISTRICT,Assault (Non-Family),2007-05-01,2007,May,12,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.034195828108970705
KIMBERLEY DISTRICT,Assault (Non-Family),2007-05-01,2007,May,30,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.08548957027242676
KIMBERLEY DISTRICT,Assault (Non-Family),2007-05-01,2007,May,7,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.019947566396899576
MANDURAH DISTRICT,Assault (Non-Family),2007-05-01,2007,May,23,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.007933250321641562
MANDURAH DISTRICT,Assault (Non-Family),2007-05-01,2007,May,63,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.021730207402757322
MANDURAH DISTRICT,Assault (Non-Family),2007-05-01,2007,May,8,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.002759391416223152
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,13,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.021395302908115404
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,31,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.05101956847319827
MID WEST-GASCOYNE DISTRICT,Assault (Non-Family),2007-05-01,2007,May,9,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.014812132782541433
MIDLAND DISTRICT,Assault (Non-Family),2007-05-01,2007,May,15,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.005978429825190712
MIDLAND DISTRICT,Assault (Non-Family),2007-05-01,2007,May,47,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.01873241345226423
