District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
ARMADALE DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,2,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0008057011412756667
CANNINGTON DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,11,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.005036376372984877
CANNINGTON DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,4,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0018314095901763188
FREMANTLE DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,6,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.002142099757585711
FREMANTLE DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,12,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.004284199515171422
GOLDFIELDS-ESPERANCE DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,1,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0018980734554427255
GOLDFIELDS-ESPERANCE DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,6,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.011388440732656354
GREAT SOUTHERN DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,1,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.001200048001920077
GREAT SOUTHERN DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,1,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.001200048001920077
JOONDALUP DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,13,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0035219471491192422
JOONDALUP DISTRICT,Receiving and Possession of Stolen Property,2007-06-01,2007,June,4,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0010836760458828437
