District,Crime,Region,State,Population,Count,Count_Per_100
MIDLAND DISTRICT,Stealing of Motor Vehicle,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,11616,4.6296960566276875
JOONDALUP DISTRICT,Assault (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,17007,4.607519628082382
MANDURAH DISTRICT,Stealing of Motor Vehicle,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,13356,4.606803969384552
PERTH DISTRICT,Recent Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,6397,4.599610287826168
FREMANTLE DISTRICT,Breach of Violence Restraint Order,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,12698,4.533397120303893
GOLDFIELDS-ESPERANCE DISTRICT,Regulated Weapons Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,2326,4.41491885735978
KIMBERLEY DISTRICT,Regulated Weapons Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,1513,4.311523994072723
KIMBERLEY DISTRICT,Receiving and Possession of Stolen Property,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,1466,4.177590333979254
MID WEST-GASCOYNE DISTRICT,Regulated Weapons Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,2503,4.119418706077911
PILBARA DISTRICT,Recent Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,2258,4.09659101217366
PILBARA DISTRICT,Threatening Behaviour (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,2244,4.0711914221956125
PERTH DISTRICT,Threatening Behaviour (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,5450,3.918692522847056
GOLDFIELDS-ESPERANCE DISTRICT,Recent Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,2045,3.881560216380374
ARMADALE DISTRICT,Graffiti,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,9569,3.854877110433427
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,1978,3.754389294865711
WHEATBELT DISTRICT,Regulated Weapons Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,2006,3.5861773066127967
GOLDFIELDS-ESPERANCE DISTRICT,Receiving and Possession of Stolen Property,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,1888,3.583562683875866
MID WEST-GASCOYNE DISTRICT,Recent Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,2126,3.498954921742565
GREAT SOUTHERN DISTRICT,Regulated Weapons Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,2826,3.3913356534261374
KIMBERLEY DISTRICT,Arson,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,1190,3.391086287472928
CANNINGTON DISTRICT,Receiving and Possession of Stolen Property,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,7126,3.2626561848991122
PILBARA DISTRICT,Threatening Behaviour (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,1793,3.252961773617083
WHEATBELT DISTRICT,Stealing of Motor Vehicle,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,1789,3.198240878130754
MANDURAH DISTRICT,Graffiti,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,9272,3.198134651402633
KIMBERLEY DISTRICT,Graffiti,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,1114,3.174512709449447
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,1767,3.158910917639487
JOONDALUP DISTRICT,Stealing of Motor Vehicle,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,11358,3.077098132284335
PILBARA DISTRICT,Regulated Weapons Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,1676,3.040693771657686
